year,movie_id,male_character_percentage,female_character_percentage
1933,[100364],83.33,16.67
1939,"[100817, 101192]",50.0,50.0
1940,"[100494, 100549]",72.225,27.775
1941,[100266],71.43,28.57
1943,[100102],42.86,57.14
1944,"[100357, 101073]",69.05000000000001,30.95
1946,[100607],66.67,33.33
1947,[101041],87.5,12.5
1948,[100779],57.14,42.86
1949,"[100936, 101052]",50.0,50.0
1950,"[100053, 101048]",61.115,38.885
1951,[100325],85.71,14.29
1952,[100441],50.0,50.0
1953,"[100906, 101174]",61.115,38.885
1955,"[100128, 100736, 100907]",63.69,36.31
1956,[100960],87.5,12.5
1957,"[100967, 101063]",73.015,26.985
1959,[100891],66.67,33.33
1960,"[100091, 100851]",50.0,50.0
1961,[100766],50.0,50.0
1962,"[100172, 100253, 101134]",59.629999999999995,40.37
1963,[100674],75.0,25.0
1965,"[100263, 100835]",76.19,23.81
1967,"[100199, 100490, 100858, 100885]",59.1075,40.8925
1969,"[100667, 100756]",58.57,41.43
1970,"[100419, 100831, 100884]",63.49333333333334,36.50666666666667
1971,"[100434, 100460, 100478, 100514, 100646]",75.714,24.285999999999994
1972,"[100324, 100465, 100665]",73.21333333333332,26.786666666666665
1973,"[100063, 100133, 100135, 100479, 100745, 101043, 101070]",79.11,20.889999999999997
1974,"[100258, 100797]",61.905,38.095
1975,"[100352, 100616, 100696, 100918, 100931, 100975, 100982]",71.37714285714286,28.622857142857146
1976,"[100237, 100642, 100930, 101031, 101075]",72.03999999999999,27.959999999999997
1977,"[100086, 100757]",70.83500000000001,29.165
1978,"[100218, 100336, 100617, 101030]",76.88499999999999,23.115000000000002
1979,"[100043, 100158, 100420, 100480, 100648, 101163]",78.29166666666666,21.708333333333332
1980,"[100377, 100436, 100530, 100661, 100834, 100887, 100900, 100980, 101035]",69.11444444444446,30.885555555555552
1981,"[100075, 100182, 100194, 100359, 100585, 101033, 101118, 101119]",81.5975,18.402500000000003
1982,"[100017, 100044, 100058, 100347, 100455, 100498, 101026, 101146]",67.52,32.48
1983,"[100366, 100952, 101057, 101077]",60.662499999999994,39.3375
1984,"[100059, 100120, 100188, 100586, 100728, 100812, 100895, 100914, 101024, 101038]",68.178,31.821999999999996
1985,"[100041, 100214, 100217, 100275, 100323, 100438, 100439, 100990]",60.566250000000004,39.433749999999996
1986,"[100094, 100191, 100512, 100536, 100546, 100856, 101012, 101094, 101102]",67.47,32.53
1987,"[100030, 100049, 100176, 100222, 100363, 100423, 100677, 100778, 100877, 100883, 100901, 101045, 101155]",71.59692307692308,28.403076923076924
1988,"[100032, 100129, 100140, 100164, 100165, 100228, 100264, 100345, 100412, 100528, 101117, 101187]",70.60249999999999,29.397499999999997
1989,"[100010, 100118, 100319, 100346, 100437, 100472, 100499, 100500, 100584, 100717, 101106]",72.91454545454545,27.085454545454546
1990,"[100097, 100130, 100150, 100198, 100267, 100373, 100466, 100517, 100564, 100768, 100875, 100879, 100880, 101051, 101097, 101110, 101181]",67.04235294117647,32.957647058823525
1991,"[100006, 100035, 100101, 100125, 100136, 100537, 100619, 100623, 100633, 100659, 100718, 100723, 100792, 100802, 100810, 100857, 100863, 100872, 100902, 100989, 100994, 101018, 101078]",68.1308695652174,31.869130434782615
1992,"[100138, 100156, 100195, 100196, 100304, 100354, 100372, 100375, 100432, 100446, 100502, 100565, 100630, 100649, 100662, 100683, 100732, 100854, 100859, 100886, 100965, 100993, 100995, 100997, 101088, 101129]",69.24000000000001,30.760000000000005
1993,"[100270, 100273, 100365, 100634, 100640, 100727, 100811, 100893, 100954, 101047, 101095, 101107, 101136]",67.9876923076923,32.01230769230769
1994,"[100106, 100126, 100187, 100280, 100342, 100424, 100501, 100527, 100529, 100574, 100595, 100628, 100668, 100700, 100738, 100760, 100770, 100973, 101064, 101124, 101150]",66.58000000000001,33.419999999999995
1995,"[100070, 100115, 100213, 100223, 100272, 100288, 100413, 100426, 100505, 100508, 100587, 100636, 100651, 100693, 100706, 100720, 100769, 100790, 100798, 100807, 100928, 100956, 100959, 100963, 101027, 101101]",68.13499999999999,31.864999999999995
1996,"[100031, 100095, 100107, 100110, 100139, 100161, 100204, 100205, 100216, 100295, 100299, 100335, 100380, 100382, 100440, 100453, 100467, 100482, 100576, 100583, 100599, 100621, 100678, 100698, 100763, 100874, 100999, 101115, 101152, 101191]",67.71800000000002,32.28200000000001
