year,movie_id,word_percentage_m,word_percentage_f
1933,[100364],97.37,2.63
1939,"[100817, 101192]",42.82,57.18
1940,"[100494, 100549]",62.795,37.205
1941,[100266],81.56,18.44
1943,[100102],62.03,37.97
1944,"[100357, 101073]",77.06,22.94
1946,[100607],86.81,13.19
1947,[101041],99.94,0.06
1948,[100779],71.6,28.4
1949,"[100936, 101052]",67.45,32.55
1950,"[100053, 101048]",59.805,40.195
1951,[100325],81.73,18.27
1952,[100441],53.67,46.33
1953,"[100906, 101174]",65.25,34.75
1955,"[100128, 100736, 100907]",62.67333333333334,37.32666666666666
1956,[100960],92.48,7.52
1957,"[100967, 101063]",83.735,16.265
1959,[100891],71.4,28.6
1960,"[100091, 100851]",62.765,37.235
1961,[100766],41.15,58.85
1962,"[100172, 100253, 101134]",61.46,38.54
1963,[100674],74.17,25.83
1965,"[100263, 100835]",85.095,14.905000000000001
1967,"[100199, 100490, 100858, 100885]",56.587500000000006,43.412499999999994
1969,"[100667, 100756]",80.14500000000001,19.855
1970,"[100419, 100831, 100884]",81.58333333333333,18.416666666666668
1971,"[100434, 100460, 100478, 100514, 100646]",82.628,17.372
1972,"[100324, 100465, 100665]",74.81,25.19
1973,"[100063, 100133, 100135, 100479, 100745, 101043, 101070]",87.78285714285714,12.217142857142859
1974,"[100258, 100797]",59.16,40.84
1975,"[100352, 100616, 100696, 100918, 100931, 100975, 100982]",76.45428571428572,23.54571428571429
1976,"[100237, 100642, 100930, 101031, 101075]",77.428,22.572000000000003
1977,"[100086, 100757]",73.635,26.365000000000002
1978,"[100218, 100336, 100617, 101030]",85.9325,14.0675
1979,"[100043, 100158, 100420, 100480, 100648, 101163]",82.64166666666667,17.358333333333334
1980,"[100377, 100436, 100530, 100661, 100834, 100887, 100900, 100980, 101035]",67.78222222222222,32.217777777777776
1981,"[100075, 100182, 100194, 100359, 100585, 101033, 101118, 101119]",87.12625,12.87375
1982,"[100017, 100044, 100058, 100347, 100455, 100498, 101026, 101146]",72.60375,27.396250000000002
1983,"[100366, 100952, 101057, 101077]",59.2,40.8
1984,"[100059, 100120, 100188, 100586, 100728, 100812, 100895, 100914, 101024, 101038]",61.32500000000001,38.675
1985,"[100041, 100214, 100217, 100275, 100323, 100438, 100439, 100990]",64.7275,35.272499999999994
1986,"[100094, 100191, 100512, 100536, 100546, 100856, 101012, 101094, 101102]",62.150000000000006,37.85
1987,"[100030, 100049, 100176, 100222, 100363, 100423, 100677, 100778, 100877, 100883, 100901, 101045, 101155]",77.3523076923077,22.64769230769231
1988,"[100032, 100129, 100140, 100164, 100165, 100228, 100264, 100345, 100412, 100528, 101117, 101187]",66.1375,33.8625
1989,"[100010, 100118, 100319, 100346, 100437, 100472, 100499, 100500, 100584, 100717, 101106]",76.73181818181818,23.268181818181816
1990,"[100097, 100130, 100150, 100198, 100267, 100373, 100466, 100517, 100564, 100768, 100875, 100879, 100880, 101051, 101097, 101110, 101181]",67.7129411764706,32.287058823529414
1991,"[100006, 100035, 100101, 100125, 100136, 100537, 100619, 100623, 100633, 100659, 100718, 100723, 100792, 100802, 100810, 100857, 100863, 100872, 100902, 100989, 100994, 101018, 101078]",75.60478260869566,24.39521739130435
1992,"[100138, 100156, 100195, 100196, 100304, 100354, 100372, 100375, 100432, 100446, 100502, 100565, 100630, 100649, 100662, 100683, 100732, 100854, 100859, 100886, 100965, 100993, 100995, 100997, 101088, 101129]",69.4523076923077,30.547692307692312
1993,"[100270, 100273, 100365, 100634, 100640, 100727, 100811, 100893, 100954, 101047, 101095, 101107, 101136]",79.12692307692308,20.87307692307692
1994,"[100106, 100126, 100187, 100280, 100342, 100424, 100501, 100527, 100529, 100574, 100595, 100628, 100668, 100700, 100738, 100760, 100770, 100973, 101064, 101124, 101150]",70.95809523809524,29.041904761904767
1995,"[100070, 100115, 100213, 100223, 100272, 100288, 100413, 100426, 100505, 100508, 100587, 100636, 100651, 100693, 100706, 100720, 100769, 100790, 100798, 100807, 100928, 100956, 100959, 100963, 101027, 101101]",70.6744,29.325599999999998
1996,"[100031, 100095, 100107, 100110, 100139, 100161, 100204, 100205, 100216, 100295, 100299, 100335, 100380, 100382, 100440, 100453, 100467, 100482, 100576, 100583, 100599, 100621, 100678, 100698, 100763, 100874, 100999, 101115, 101152, 101191]",74.76799999999997,25.231999999999996
1997,"[100000, 100021, 100038, 100042, 100051, 100064, 100082, 100105, 100200, 100203, 100221, 100227, 100255, 100331, 100344, 100371, 100376, 100456, 100459, 100477, 100481, 100486, 100541, 100555, 100598, 100611, 100632, 100743, 100751, 100754, 100759, 100791, 100795, 100829, 100924, 100933, 100942, 100957, 101011, 101039, 101062, 101083, 101098, 101104, 101108, 101132, 101148, 101184, 101199]",74.6225,25.377499999999998
1998,"[100057, 100069, 100081, 100090, 100149, 100168, 100245, 100257, 100283, 100306, 100379, 100414, 100475, 100516, 100525, 100545, 100552, 100573, 100656, 100681, 100684, 100708, 100715, 100747, 100793, 100838, 100861, 100867, 100871, 100921, 100940, 100972, 100998, 101022, 101042, 101044, 101080, 101126, 101130, 101186]",73.75450000000001,26.245499999999993
1999,"[100061, 100083, 100111, 100157, 100184, 100254, 100262, 100341, 100353, 100362, 100381, 100385, 100416, 100532, 100591, 100722, 100742, 100750, 100773, 100786, 100787, 100788, 100789, 100821, 100822, 100848, 100913, 100938, 100948, 100958, 100981, 100996, 101004, 101040, 101072, 101135, 101169, 101197, 101200]",65.13153846153847,34.86846153846154
2000,"[100034, 100039, 100071, 100113, 100137, 100207, 100242, 100248, 100256, 100278, 100284, 100301, 100348, 100374, 100435, 100513, 100533, 100539, 100560, 100593, 100669, 100692, 100771, 100804, 100842, 100896, 100897, 100910, 100917, 101023, 101100, 101113, 101153, 101194]",73.86470588235294,26.135294117647067
2001,"[100012, 100046, 100087, 100089, 100173, 100189, 100468, 100470, 100566, 100570, 100579, 100609, 100615, 100618, 100631, 100680, 100701, 100716, 100765, 100827, 100850, 100868, 100941, 100983, 101010, 101065, 101071, 101145, 101202]",76.01571428571428,23.984285714285715
2002,"[100013, 100080, 100131, 100181, 100226, 100232, 100243, 100285, 100293, 100457, 100485, 100488, 100538, 100557, 100709, 100719, 100860, 100862, 100889, 100894, 100946, 100988, 101013, 101019, 101029, 101032, 101180, 101196]",75.73428571428572,24.26571428571429
