index,character_id,movie_id,character_name,occourences,word_count
1800,206419,100777,mr. bishop,30,525
1801,206420,100777,cousin ben,23,469
1802,206421,100777,social services,22,363
1803,206422,100777,insert:,21,644
1804,206423,100777,skotak,18,439
1805,206427,100778,mr. johnny,82,897
1806,206432,100778,old man,21,432
1807,206439,100779,bill's voice,35,835
1808,206441,100779,tesander,24,299
1809,206442,100780,mr. brooks,238,4607
1810,206443,100780,detective atwood,191,3349
1811,206444,100780,mr. smith,80,1301
1812,206449,100780,captain lister,24,381
1813,206450,100780,asian attorney,19,293
1814,206456,100783,ponsonby,53,749
1815,206459,100783,victoria (cont'd),26,438
1816,206463,100784,neckbone,158,2425
1817,206465,100784,mud (cont'd),48,1204
1818,206467,100784,mary lee,31,592
1819,206468,100784,may pearl,29,320
1820,206485,100787,mumford (v.o.),51,1739
1821,206490,100787,delbanco,25,619
1822,206495,100788,curator,28,749
1823,206497,100788,ardeth ray,23,656
1824,206513,100790,digital voice,21,423
1825,206514,100790,first policeman,17,437
1826,206516,100790,the reaper,9,140
1827,206517,100790,telephone operator,6,109
1828,206523,100791,michael (v.o.),21,401
1829,206525,100791,michael (o.s.),12,233
1830,206530,100792,thomas j,115,1005
1831,206531,100792,mr. bixler,36,616
1832,206534,100792,vada's thoughts,10,278
1833,206535,100792,mrs. sennett,9,152
1834,206538,100793,disciple prospect,17,345
1835,206541,100793,marian -,10,194
1836,206542,100793,head disciple,8,103
1837,206543,100793,mr. palmer,4,38
1838,206544,100793,fade to:,4,0
1839,206549,100794,marilyn (cont'd),46,1062
1840,206552,100794,olivier (cont'd),30,661
1841,206557,100795,shoveler,80,877
1842,206560,100795,tony p,27,745
1843,206561,100795,invisible boy,25,346
1844,206580,100798,wayne (v.o.),29,670
1845,206593,100801,professor spaulding,16,195
1846,206601,100802,racetrack,30,614
1847,206603,100802,crutchy,26,646
1848,206613,100803,cris (v.o.),11,104
1849,206617,100804,uncle elroy,67,1543
1850,206618,100804,mr. jones,43,668
1851,206625,100805,lt. nabulsi,38,452
1852,206627,100805,sgt. harris,27,367
1853,206628,100805,john (cont'd),24,537
1854,206633,100806,monsieur bluette,152,2966
1855,206634,100806,monsieur dubenoît,122,2804
1856,206635,100806,armand fléchard,95,1747
1857,206637,100806,maître guilloche,69,2832
1858,206639,100806,fondu enchaîné,19,273
1859,206640,100806,détenu pédicure,13,179
1860,206642,100807,mr. smith,126,2367
1861,206644,100807,eleanor grant,56,812
1862,206645,100807,ms. jones,53,853
1863,206646,100807,brendan grant,38,728
1864,206649,100807,mystery man,19,272
1865,206650,100808,night-nora's bedroom,1,1682
1866,206653,100809,intercut:,7,0
1867,206654,100809,fade in:,7,0
1868,206655,100809,fade out:,6,0
1869,206656,100809,41. hallucination,1,0
1870,206657,100809,long angle:,1,0
1871,206658,100809,joyce: fire!,1,0
1872,206659,100809,'highway 2/north',1,0
1873,206661,100809,now!,1,0
1874,206665,100810,dr. finkelstein,25,276
1875,206666,100810,oogie boogie,19,398
1876,206667,100810,sandy claws,17,164
1877,206674,100811,dr. finkelstein,25,276
1878,206675,100811,oogie boogie,19,398
1879,206676,100811,sandy claws,17,164
1880,206683,100812,lt thompson,50,889
1881,206686,100812,nancy (contd),16,680
1882,206687,100812,marge (contd),16,476
1883,206688,100812,dr king,15,499
1884,206694,100813,blade cop,23,347
1885,206695,100813,sound cop,19,221
1886,206697,100813,power cop,15,196
1887,206703,100814,"int. ""soundstage""",34,392
1888,206704,100814,guido (cont'd),20,431
1889,206706,100814,cardinal's secretary,16,198
1890,206719,100816,ozunu (cont'd),35,447
1891,206720,100816,mika (cont'd),24,321
1892,206721,100816,maslow (cont'd),21,234
1893,206728,100817,iranoff,85,1184
1894,206729,100817,buljanoff,81,1248
1895,206730,100817,kopalski,72,930
1896,206734,100818,***,32,3927
1897,206740,100819,carla jean,65,525
1898,206744,100819,proprietor,36,274
1899,206748,100820,(a beat),38,390
1900,206750,100820,dr. metzner,26,229
1901,206753,100820,adam (cont'd),21,284
1902,206754,100820,emma (cont'd),14,192
1903,206768,100822,(beat),73,1386
1904,206775,100824,jack (cont'd),57,1387
1905,206778,100824,victoria (cont'd),24,363
1906,206779,100824,(beat),18,235
1907,206780,100824,beech (cont'd),17,352
1908,206781,100824,julia (cont'd),12,196
1909,206784,100825,detective harrison,68,957
1910,206806,100827,tishkoff,32,679
1911,206815,100828,toulour,41,715
1912,206823,100829,bob slydell,33,437
1913,206828,100831,omega man script,1,0
1914,206832,100832,big nurse,101,1524
1915,206835,100832,turkle,43,672
1916,206838,100832,cheswick,30,219
1917,206839,100832,sefelt,29,198
1918,206841,100833,(in thai),145,3021
1919,206844,100833,julian (cont'd),33,469
1920,206847,100833,jenna (cont'd),21,508
1921,206848,100833,chang (cont'd),20,66
1922,206851,100834,dr berger,175,1206
1923,206856,100834,(os),22,135
1924,206861,100835,princess of darkness,34,385
1925,206862,100835,the mummy,22,222
1926,206863,100835,the wolf man,9,16
1927,206864,100835,criswell (vo),5,265
1928,206865,100835,doctor #1,4,59
1929,206866,100835,doctor #2,3,21
1930,206872,100836,sister abigail,27,743
1931,206873,100836,dr. browning,18,430
1932,206879,100837,sir thomas,77,1340
1933,206884,100837,(,34,0
1934,206893,100838,karen (cont'd),27,428
1935,206896,100840,shane (cont'd),53,626
1936,206899,100840,principal claire,27,406
1937,206902,100840,murney,21,366
1938,206907,100841,bower (cont'd),57,1363
1939,206910,100841,payton (cont'd),19,389
1940,206919,100842,cop 1,12,108
1941,206920,100842,raoul (o.s.),7,69
1942,206925,100844,sandra babcock,34,458
1943,206926,100844,perry babcock,33,597
1944,206929,100844,norman (cont'd),28,789
1945,206936,100845,alike (cont'd),22,285
1946,206937,100845,mrs. singletary,18,212
1947,206938,100845,bina (cont'd),17,269
1948,206943,100846,aurora (cont'd),22,392
1949,206944,100846,jim (cont'd),18,315
1950,206945,100846,gus (cont'd),14,234
1951,206946,100846,infomat,13,131
1952,206947,100846,communications booth,11,91
1953,206948,100847,...,7,873
1954,206949,100847,100   the prison,1,100
1955,206950,100847,30.,1,253
1956,206951,100847,56   the prison,1,199
1957,206952,100847,125   the churchyard,1,22
1958,206953,100847,24.,1,28
1959,206954,100847,99    the torture-chamber,1,46
1960,206955,100847,36.,1,336
