character_id,movie_id,character_name,occourences,word_count,gender
206010,100727,helen,33,623,female
206011,100727,lillian,27,329,female
206012,100727,helen's voice,22,555,unknown
206013,100727,sy,19,220,male
206014,100728,graham,288,4355,male
206015,100728,crawford,101,1339,male
206016,100728,dollarhyde,62,744,male
206017,100728,lecktor,54,998,unknown
206018,100728,molly,51,731,female
206019,100728,lounds,39,450,unknown
206020,100728,reba,36,452,female
206021,100728,springfield,21,327,male
206022,100728,kevin,21,175,male
206023,100729,lisa,672,8107,female
206024,100729,joan,230,2785,male
206025,100729,emily,124,1785,female
206026,100729,paul,71,865,male
206027,100729,ramon,62,1023,male
206028,100729,mr aaron,56,629,unknown
206029,100729,abigail,55,699,female
206030,100729,maretti,48,667,female
206031,100729,deutsch,47,636,male
206032,100730,will emerson,165,2146,unknown
206033,100730,peter,164,1670,male
206034,100730,sam rogers,156,2223,unknown
206035,100730,seth,107,863,male
206036,100730,jared cohen,79,1115,unknown
206037,100730,john tuld,72,1384,unknown
206038,100730,eric,63,676,male
206039,100730,sarah robertson,54,562,unknown
206040,100730,mary rogers,12,133,unknown
206041,100731,margot,312,4156,female
206042,100731,pauline,235,3495,female
206043,100731,claude,175,1697,male
206044,100731,malcolm,131,2052,male
206045,100731,ingrid,65,680,female
206046,100731,dick,20,276,male
206047,100731,jim,20,244,male
206048,100731,maisy,15,202,female
206049,100731,woman,10,108,female
206050,100732,domino,66,817,male
206051,100732,mariachi,59,978,male
206052,100732,azul,42,594,female
206053,100732,moco,25,525,male
206054,100732,viejo clerk,12,188,unknown
206055,100732,azul (cont'd),12,260,unknown
206056,100732,moco (cont'd),8,270,unknown
206057,100732,bartender,8,359,male
206058,100732,domino (cont'd),8,204,unknown
206059,100734,martha,243,1579,female
206060,100734,lucy,179,1586,female
206061,100734,ted,82,816,male
206062,100734,patrick,36,557,male
206063,100734,lucy (cont'd),33,313,unknown
206064,100734,(beat),29,279,unknown
206065,100734,zoe,24,331,female
206066,100734,max,23,273,male
206067,100734,sarah,14,148,female
206068,100735,lewis,90,1173,male
206069,100735,vincent,73,1006,male
206070,100735,teddy,63,906,male
206071,100735,mark,47,1009,male
206072,100735,martinez,44,462,male
206073,100735,johanssen,43,437,male
206074,100735,(then),39,743,unknown
206075,100735,mark (cont'd),30,1004,unknown
206076,100735,mitch,29,337,male
206077,100736,marty,211,6352,female
206078,100736,mrs. pilletti,103,1900,unknown
206079,100736,clara,56,1155,female
206080,100736,angie,50,890,female
206081,100736,thomas,42,1017,male
206082,100736,catherine,33,773,female
206083,100736,virginia,29,690,female
206084,100736,ralph,22,457,male
206085,100736,dr. keegan,16,377,unknown
206086,100737,genres,1,1,male
206087,100737,writers,1,1,male
206088,100738,stanley,179,1519,male
206089,100738,tina,79,932,female
206090,100738,dorian,65,722,male
206091,100738,charlie,52,829,male
206092,100738,peggy,32,446,female
206093,100738,kellaway,31,303,unknown
206094,100738,lt. kellaway,23,303,unknown
206095,100738,dorian/mask,21,298,unknown
206096,100738,dr. neuman,16,271,unknown
206097,100739,jack,166,3736,male
206098,100739,stephen,102,2208,male
206099,100739,blakeney,44,646,female
206100,100739,calamy,30,371,female
206101,100739,jack (cont'd),29,709,unknown
206102,100739,pullings,27,397,unknown
206103,100739,mowett,17,337,unknown
206104,100739,hollom,17,280,unknown
206105,100739,stephen (cont'd),17,344,unknown
206106,100740,freddie,443,2892,male
206107,100740,master,274,3456,male
206108,100740,master (cont'd),40,1480,unknown
206109,100740,mary sue,26,398,unknown
206110,100740,mother,26,148,female
206111,100740,bill,23,281,male
206112,100740,doctor,23,241,male
206113,100740,clark,21,358,male
206114,100740,elizabeth,18,154,female
206115,100742,morpheus,93,1479,male
206116,100742,neo,92,1512,male
206117,100742,razor,51,1006,male
206118,100742,trinity,49,520,female
206119,100742,gregory,46,1179,male
206120,100742,choi,44,783,male
206121,100742,smith,35,986,male
206122,100742,niobe,18,254,female
206123,100742,agent smith,15,258,unknown
206124,100743,neo,175,2210,male
206125,100743,morpheus,135,2768,male
206126,100743,trinity,120,1203,female
206127,100743,agent smith,74,1510,unknown
206128,100743,tank,59,632,male
206129,100743,cypher,44,948,male
206130,100743,int.  main deck,35,410,unknown
206131,100743,morpheus (v.o.),30,531,unknown
206132,100743,gizmo,21,322,male
206133,100744,max,116,806,male
206134,100744,bb,85,1263,female
206135,100744,bravura,39,394,male
206136,100744,mona,37,311,female
206137,100744,colvin,22,234,male
206138,100744,b,20,288,male
206139,100744,ax,18,172,male
206140,100744,m,15,202,female
206141,100744,t,11,198,male
206142,100745,charlie,231,4050,male
206143,100745,johnny boy,73,1236,unknown
206144,100745,michael,63,913,male
206145,100745,tony,43,515,male
206146,100745,teresa,38,419,female
206147,100745,giovanni,29,528,male
206148,100745,(continuing),14,352,unknown
206149,100745,mario,13,193,male
206150,100745,oscar,13,240,male
206151,100746,bishop,191,3240,male
206152,100746,steve,163,3028,male
206153,100746,steve (cont'd),39,927,unknown
206154,100746,(beat),29,526,unknown
206155,100746,bishop (cont'd),25,355,unknown
206156,100746,mckenna,23,408,female
206157,100746,louise,15,197,female
206158,100746,woman,12,256,female
206159,100746,mckenna (cont'd),11,502,unknown
206160,100747,parrish,369,5892,male
206161,100747,joe,307,3649,male
206162,100747,susan,218,2886,female
206163,100747,drew,139,2835,male
206164,100747,quince,79,1149,male
206165,100747,allison,68,1390,female
206166,100747,young man,46,872,unknown
206167,100747,easter,25,306,female
206168,100747,voice,22,381,male
206169,100748,the end,1,0,unknown
206170,100748,genres,1,1,male
206171,100748,writers,1,1,male
206172,100749,master mind,198,3455,unknown
206173,100749,roxanne,119,1954,female
206174,100749,titan,72,1558,male
206175,100749,hal,57,1011,male
206176,100749,plato,43,588,male
206177,100749,"""pat morita""",30,359,unknown
206178,100749,"""john cusack""",30,538,unknown
206179,100749,einstein,25,485,male
206180,100749,frank,21,286,male
206181,100750,leonard,309,4392,male
206182,100750,teddy,125,2357,male
206183,100750,natalie,103,1678,female
206184,100750,burt,33,400,male
206185,100750,leonard (v.o.),18,872,unknown
206186,100750,leonard  *,13,197,unknown
206187,100750,jimmy,12,135,male
206188,100750,leonard (v.0.),10,330,unknown
206189,100750,sequence>>,10,257,unknown
206190,100751,kay,203,3634,male
206191,100751,jay,131,2077,male
206192,100751,edwards,71,1321,male
206193,100751,laurel,52,1089,female
206194,100751,kay (cont'd),42,1214,unknown
206195,100751,zed,38,628,male
206196,100751,edgar,31,923,male
206197,100751,agent janus,11,120,unknown
206198,100751,beatrice,11,238,female
206199,100752,jay,253,4328,male
206200,100752,kay,165,2653,male
206201,100752,jay (cont'd),49,687,unknown
206202,100752,yaz,21,375,male
206203,100752,lama,18,208,female
206204,100752,kay (cont'd),15,252,unknown
206205,100752,trevor,13,157,male
206206,100752,obadiah,12,147,male
206207,100752,guard,12,171,male
206208,100753,bob,194,1787,male
206209,100753,lyn cassady,172,2307,unknown
206210,100753,bob (v.o.),55,2113,unknown
206211,100753,bill django,40,630,unknown
206212,100753,bob (cont'd),38,444,unknown
206213,100753,larry hooper,26,471,unknown
206214,100753,(beat),24,203,unknown
206215,100753,gus lacey,17,281,unknown
206216,100753,(more),8,0,unknown
206217,100754,roper,385,6600,male
206218,100754,mccall,140,1783,male
206219,100754,korda,87,2225,male
206220,100754,ronnie,72,1030,male
206221,100754,solis,41,667,male
206222,100754,baffert,37,591,male
206223,100754,korda (o.s.),18,417,unknown
206224,100754,omitted,16,80,female
206225,100754,earl,14,157,male
206226,100755,crockett,213,3163,male
206227,100755,tubbs,137,1976,male
206228,100755,isabella,84,1629,female
206229,100755,josé yero,35,958,unknown
206230,100755,fujima,34,463,male
206231,100755,castillo,25,389,male
206232,100755,gina,24,566,female
206233,100755,trudy,17,312,female
206234,100755,montoya,12,445,male
206235,100756,joe,182,4209,male
206236,100756,ratso,98,2177,male
206237,100756,shirley,24,471,female
206238,100756,towny,20,621,male
206239,100756,joe (cont'd),18,452,unknown
206240,100756,o'daniel,14,328,unknown
206241,100756,ratso (cont'd),13,313,unknown
206242,100756,joe's voice,12,126,unknown
206243,100756,cass,11,297,female
206244,100757,billy,185,3448,male
206245,100757,cut:,77,4413,unknown
206246,100757,max,67,1022,male
206247,100757,bell,47,1253,female
206248,100757,hamidou,24,1100,male
206249,100757,susan,22,643,female
206250,100757,driver,21,620,male
206251,100757,erich,21,339,male
206252,100757,father,20,621,male
206253,100758,gil,273,3958,male
206254,100758,inez,116,1531,female
206255,100758,adriana,81,1114,female
206256,100758,hemingway,46,741,male
206257,100758,helen,42,443,female
206258,100758,paul,32,461,male
206259,100758,stein,27,638,male
206260,100758,john,24,280,male
206261,100758,zelda,22,325,female
206262,100759,jill,172,3083,female
206263,100759,gregg,158,3035,male
206264,100759,harry,56,1369,male
206265,100759,strasser,52,1366,male
206266,100759,cecily,36,497,female
206267,100759,pindi,34,782,male
206268,100759,kweli,26,532,male
206269,100759,garth,23,387,male
206270,100759,ruth,19,340,female
206271,100760,ivan,70,1095,male
206272,100760,tommy,51,675,male
206273,100760,kimberly,49,578,female
206274,100760,dulcea,47,1126,female
206275,100760,aisha,44,526,female
206276,100760,billy,35,406,male
206277,100760,alpha 5,33,549,unknown
206278,100760,mordant,33,482,male
206279,100760,rocky,30,313,male
206280,100761,harvey milk,305,6122,unknown
206281,100761,scott smith,73,873,unknown
206282,100761,dan white,54,915,unknown
206283,100761,cleve jones,54,791,unknown
206284,100761,jack lira,25,440,unknown
206285,100761,(more),23,0,unknown
206286,100761,jim rivaldo,16,267,unknown
206287,100761,dick pabich,16,239,unknown
206288,100761,anne kronenberg,16,262,unknown
206289,100762,his pov,11,279,unknown
206290,100762,reverse,10,2810,male
206291,100762,leo,8,103,male
206292,100762,tom,7,527,male
206293,100762,fade out,5,14,unknown
206294,100762,the street,4,97,unknown
206295,100762,pulling tom,4,44,unknown
206296,100762,bluepoint,3,143,male
206297,100762,the club,3,92,unknown
206298,100763,susan,174,3019,female
206299,100763,peter,163,2652,male
206300,100763,leonard,80,1376,male
206301,100763,manny,44,1082,male
206302,100763,josh,29,572,male
206303,100763,siri,23,469,female
206304,100763,chuy,19,295,male
206305,100763,ernest,11,384,male
206306,100763,subway car,10,131,unknown
206307,100764,mini,262,2986,female
206308,100764,martin,195,1719,male
206309,100764,mini (v.o.),169,2917,unknown
206310,100764,diane,79,811,female
206311,100764,garson,60,901,male
206312,100764,rudell,18,245,male
206313,100764,artin,10,83,male
206314,100764,ini,10,99,female
206315,100764,host,7,112,male
206316,100765,anderson,159,2204,male
206317,100765,witwer,95,1582,unknown
206318,100765,lisa,60,978,female
206319,100765,anderson (cont'd),32,847,unknown
206320,100765,witwer (cont'd),24,275,unknown
206321,100765,rose,20,336,female
206322,100765,lisa (cont'd),18,365,unknown
206323,100765,dr. resfield,13,198,unknown
206324,100765,female,13,163,female
206325,100766,kate,19,372,female
206326,100766,keller,17,204,male
206327,100766,0,10,94,unknown
206328,100766,aunt ev,8,85,unknown
206329,100766,anagnos,7,160,unknown
206330,100766,annie,6,38,female
206331,100766,martha,4,49,female
206332,100766,percy,4,90,male
206333,100766,james,3,27,male
206334,100767,ben,148,2933,male
206335,100767,amy,82,1949,female
206336,100767,larry,24,643,male
206337,100767,michael,24,245,male
206338,100767,amy (cont'd),23,426,unknown
206339,100767,daisy,21,238,female
206340,100767,angela,18,226,female
206341,100767,ben (cont'd),15,309,unknown
206342,100767,lorenzo,14,375,male
206343,100768,annie,225,5709,female
206344,100768,paul,171,2243,male
206345,100768,buster,66,1022,male
206346,100768,sindell,24,430,female
206347,100768,virginia,21,222,female
206348,100768,paul's room,7,65,unknown
206349,100768,pete,6,62,male
206350,100768,the kitchen,5,144,unknown
206351,100768,libby,4,112,female
206352,100769,ethan,192,2552,male
206353,100769,phelps,60,978,male
206354,100769,claire,55,705,female
206355,100769,kittridge,44,925,unknown
206356,100769,luther,36,406,male
206357,100769,max,35,440,male
206358,100769,jack,24,304,male
206359,100769,matthias,16,131,male
206360,100769,sarah,16,175,female
206361,100770,ethan,226,3708,male
206362,100770,nyah,140,2427,female
206363,100770,ambrose,83,1745,male
206364,100770,luther,62,942,male
206365,100770,swanbeck,44,1214,unknown
206366,100770,billy,39,555,male
206367,100770,nekhorvich,28,599,unknown
206368,100770,mccloy,21,433,male
206369,100770,stamp,20,416,female
206370,100771,mcconnell,200,3888,male
206371,100771,woody,142,2737,male
206372,100771,luke,128,2625,male
206373,100771,terri,101,1426,female
206374,100771,phil,92,1316,male
206375,100771,beck,31,640,male
206376,100771,omitted,30,150,female
206377,100771,cote,14,141,female
206378,100771,computer,12,172,male
206379,100772,billy,717,7646,male
206380,100772,peter,202,2192,male
206381,100772,art,65,654,male
206382,100772,grady,51,871,male
206383,100772,casey,43,223,male
206384,100772,(beat),37,432,unknown
206385,100772,schott,29,347,male
206386,100772,tara,27,167,female
206387,100772,hatteberg,25,200,unknown
206388,100773,stu,130,2698,male
206389,100773,julie,91,1962,female
206390,100773,monkeybone,60,1649,male
206391,100773,stu-bone,52,1612,unknown
206392,100773,hypnos,30,765,male
206393,100773,death,26,713,male
206394,100773,herb,24,549,male
206395,100773,alice,17,220,female
206396,100773,kitty,15,320,female
206397,100775,alice,224,2407,female
206398,100775,emma,202,2645,female
206399,100775,meg,158,1833,female
206400,100775,richard,47,495,male
206401,100775,jean-pierre,44,536,male
206402,100775,cordelia,39,371,female
206403,100775,emma (cont'd),36,519,unknown
206404,100775,bernard,32,390,male
206405,100775,alice (cont'd),27,367,unknown
206406,100776,sam 1,115,1567,unknown
206407,100776,sam 2,103,1754,unknown
206408,100776,gerty,84,1332,female
206409,100776,sam,60,1426,male
206410,100776,overmeyers,17,273,unknown
206411,100776,thompson,14,189,male
206412,100776,sam (cont'd),12,298,unknown
206413,100776,sam (v.o.),8,98,unknown
206414,100776,gerty (cont'd),8,200,unknown
206415,100777,sam,104,1792,male
206416,100777,captain sharp,79,1351,unknown
206417,100777,suzy,76,1552,female
206418,100777,mrs. bishop,37,559,unknown
206419,100777,mr. bishop,30,525,unknown
206420,100777,cousin ben,23,469,unknown
206421,100777,social services,22,363,unknown
206422,100777,insert:,21,644,unknown
206423,100777,skotak,18,439,unknown
206424,100778,loretta,261,3111,female
206425,100778,ronny,133,1757,male
206426,100778,rose,99,1130,female
206427,100778,mr. johnny,82,897,unknown
206428,100778,cosmo,66,875,male
206429,100778,perry,39,533,male
206430,100778,raymond,29,433,male
206431,100778,rita,23,206,female
206432,100778,old man,21,432,unknown
206433,100779,jim,390,6342,male
206434,100779,muriel,214,3309,female
206435,100779,bill,99,1953,male
206436,100779,dissolve,60,145,female
206437,100779,simms,56,1282,male
206438,100779,betsy,35,487,female
206439,100779,bill's voice,35,835,unknown
206440,100779,joan,29,361,male
